net,length_um
_0680_,2.96
uc_0.bc_0.358$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:960$35.$result\[2\],2.96
_0014_,2.945
_0018_,2.945
_0021_,2.945
_0022_,2.945
_0042_,2.945
_0044_,2.945
_0045_,2.945
_0046_,2.945
_0075_,2.945
_0076_,2.945
_0081_,2.945
_0085_,2.945
_0086_,2.945
_0090_,2.945
_0105_,2.945
_0108_,2.945
_0113_,2.945
_0117_,2.945
_0118_,2.945
_0137_,2.945
_0158_,2.945
_0159_,2.945
_0162_,2.945
_0163_,2.945
_0177_,2.945
_0024_,2.885
_0165_,2.86
_0065_,2.785
_0083_,2.785
_0146_,2.785
_0170_,2.785
_0023_,2.715
_0051_,2.715
_0053_,2.715
_0059_,2.715
_0111_,2.715
_0120_,2.715
_0149_,2.715
_0155_,2.715
_0161_,2.715
_0270_,2.64
_0827_,2.64
_0265_,2.62
_0337_,2.62
_0358_,2.62
_0521_,2.62
_0554_,2.62
_0681_,2.62
_0690_,2.62
_0694_,2.62
_0746_,2.62
_0803_,2.62
_0881_,2.62
_0885_,2.62
po_0._1_\[7\],2.62
po_0.alu_0._11_\[0\],2.62
_0029_,2.545
_0041_,2.545
_0064_,2.545
_0080_,2.545
_0091_,2.545
_0128_,2.545
net9,2.545
