net,length_um
po_0.regf_0.rf\[5\]\[7\],17.68
po_0.regf_0.rf\[12\]\[4\],17.6
po_0.regf_0.rf\[2\]\[0\],17.57
po_0.regf_0.rf\[9\]\[1\],17.56
po_0.regf_0.rf\[12\]\[11\],17.5
po_0.regf_0.rf\[8\]\[11\],17.5
po_0.regf_0.rf\[7\]\[9\],17.42
_1412_,17.4
po_0.regf_0.rf\[12\]\[14\],17.4
po_0.regf_0.rf\[7\]\[5\],17.39
po_0.regf_0.rf\[6\]\[0\],17.37
_0366_,17.36
po_0.regf_0.rf\[9\]\[13\],17.36
_0598_,17.33
_0868_,17.24
po_0.regf_0.rf\[7\]\[15\],17.23
_0541_,17.22
_1314_,17.22
_0670_,17.2
_1129_,17.18
po_0.regf_0.rf\[6\]\[11\],17.095
po_0.regf_0.rf\[13\]\[4\],17.06
po_0.regf_0.rf\[0\]\[11\],17.02
po_0.muxf_0.rf_w_data\[7\],17
_0524_,16.86
_0639_,16.82
po_0.regf_0.rf\[12\]\[0\],16.8
_0460_,16.72
po_0.regf_0.rf\[11\]\[3\],16.7
po_0.regf_0.rf\[14\]\[6\],16.69
po_0.regf_0.rf\[2\]\[6\],16.69
_0603_,16.68
_0520_,16.64
po_0.regf_0.rf\[3\]\[14\],16.62
_1169_,16.6
po_0.regf_0.rf\[8\]\[5\],16.54
_1202_,16.48
po_0.regf_0.rf\[15\]\[11\],16.48
_1173_,16.44
po_0.regf_0.rf\[15\]\[7\],16.4
_1379_,16.36
_0363_,16.3
po_0.regf_0.rf\[3\]\[10\],16.26
uc_0.bc_0._55_\[2\],16.16
_0405_,16.06
po_0.regf_0.rf\[2\]\[8\],16.01
po_0.regf_0.rf\[8\]\[4\],16
po_0.regf_0.rf\[0\]\[1\],15.88
po_0.regf_0.rf\[7\]\[6\],15.85
_0395_,15.84
_0599_,15.84
po_0.regf_0.rf\[14\]\[9\],15.81
_0809_,15.8
po_0.regf_0.rf\[11\]\[8\],15.8
po_0.regf_0.rf\[4\]\[13\],15.74
po_0.regf_0.rf\[2\]\[5\],15.67
_1136_,15.66
po_0.regf_0.rf\[7\]\[10\],15.59
po_0.regf_0.rf\[12\]\[5\],15.56
po_0.regf_0.rf\[5\]\[12\],15.56
_1182_,15.48
po_0.regf_0.rf\[2\]\[11\],15.375
